matchID,matchDate,match,match_location_date,toss,team1,team1_captain,team1_score,team2,team2_captain,team2_score,winner,result,player_of_the_match,team1_logo,team2_logo,team1_full_name,team2_full_name,team1_captain_image,team2_captain_image,player_of_the_match_image
T208482,"Apr 15, 2025",PBKS Vs KKR,"31st Match (N), New Chandigarh, April 15, 2025,Indian Premier League","Punjab Kings, elected to bat first",PBKS,Shreyas Iyer,111,KKR,Ajinkya Rahane,"(15.1/20 ov, T:112) 95",PBKS,PBKS won by 16 runs,Yuzvendra Chahal,https://documents.iplt20.com/ipl/PBKS/Logos/Logooutline/PBKSoutline.png,https://documents.iplt20.com/ipl/KKR/Logos/Logooutline/KKRoutline.png,Punjab Kings,Kolkata Knight Riders,https://documents.iplt20.com/ipl/IPLHeadshot2025/12.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/44.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/10.png
T201652,"Apr 14, 2025",LSG Vs CSK,"30th Match (N), Lucknow, April 14, 2025,Indian Premier League","Chennai Super Kings, elected to field first",LSG,Rishabh Pant,166/7,CSK,MS Dhoni,"(19.3/20 ov, T:167) 168/5",CSK,CSK won by 5 wickets (with 3 balls remaining),MS Dhoni,https://documents.iplt20.com/ipl/LSG/Logos/Logooutline/LSGoutline.png,https://documents.iplt20.com/ipl/CSK/logos/Logooutline/CSKoutline.png,Lucknow Super Giants,Chennai Super Kings,https://documents.iplt20.com/ipl/IPLHeadshot2025/18.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/57.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/57.png
T207454,"Apr 13, 2025",MI Vs DC,"29th Match (N), Delhi, April 13, 2025,Indian Premier League","Delhi Capitals, elected to field first",MI,Hardik Pandya,205/5,DC,Axar Patel,"(19/20 ov, T:206) 193",MI,MI won by 12 runs,Karn Sharma,https://documents.iplt20.com/ipl/MI/Logos/Logooutline/MIoutline.png,https://documents.iplt20.com/ipl/DC/Logos/LogoOutline/DCoutline.png,Mumbai Indians,Delhi Capitals,https://documents.iplt20.com/ipl/IPLHeadshot2025/54.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/110.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/98.png
T201189,"Apr 13, 2025",RR Vs RCB,"28th Match (D/N), Jaipur, April 13, 2025,Indian Premier League","Royal Challengers Bengaluru, elected to field first",RR,Sanju Samson,173/4,RCB,Rajat Patidar,"(17.3/20 ov, T:174) 175/1",RCB,RCB won by 9 wickets (with 15 balls remaining),Phil Salt,https://documents.iplt20.com/ipl/RR/Logos/Logooutline/RRoutline.png,https://documents.iplt20.com/ipl/RCB/Logos/Logooutline/RCBoutline.png,Rajasthan Royals,Royal Challengers Bengaluru,https://documents.iplt20.com/ipl/IPLHeadshot2025/190.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/597.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/1220.png
T209279,"Apr 12, 2025",PBKS Vs SRH,"27th Match (N), Hyderabad, April 12, 2025,Indian Premier League","Punjab Kings, elected to bat first",PBKS,Shreyas Iyer,245/6,SRH,Pat Cummins,"(18.3/20 ov, T:246) 247/2",SRH,SRH won by 8 wickets (with 9 balls remaining),Abhishek Sharma,https://documents.iplt20.com/ipl/PBKS/Logos/Logooutline/PBKSoutline.png,https://documents.iplt20.com/ipl/SRH/Logos/Logooutline/SRHoutline.png,Punjab Kings,Sunrisers Hyderabad,https://documents.iplt20.com/ipl/IPLHeadshot2025/12.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/33.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/212.png
T205772,"Apr 12, 2025",GT Vs LSG,"26th Match (D/N), Lucknow, April 12, 2025,Indian Premier League","Lucknow Super Giants, elected to field first",GT,Shubman Gill,180/6,LSG,Rishabh Pant,"(19.3/20 ov, T:181) 186/4",LSG,LSG won by 6 wickets (with 3 balls remaining),Aiden Markram,https://documents.iplt20.com/ipl/GT/Logos/Logooutline/GToutline.png,https://documents.iplt20.com/ipl/LSG/Logos/Logooutline/LSGoutline.png,Gujarat Titans,Lucknow Super Giants,https://documents.iplt20.com/ipl/IPLHeadshot2025/62.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/18.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/287.png
T202770,"Apr 11, 2025",CSK Vs KKR,"25th Match (N), Chennai, April 11, 2025,Indian Premier League","Kolkata Knight Riders, elected to field first",CSK,MS Dhoni,103/9,KKR,Ajinkya Rahane,"(10.1/20 ov, T:104) 107/2",KKR,KKR won by 8 wickets (with 59 balls remaining),Sunil Narine,https://documents.iplt20.com/ipl/CSK/logos/Logooutline/CSKoutline.png,https://documents.iplt20.com/ipl/KKR/Logos/Logooutline/KKRoutline.png,Chennai Super Kings,Kolkata Knight Riders,https://documents.iplt20.com/ipl/IPLHeadshot2025/57.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/44.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/156.png
T201710,"Apr 10, 2025",RCB Vs DC,"24th Match (N), Bengaluru, April 10, 2025,Indian Premier League","Delhi Capitals, elected to field first",RCB,Rajat Patidar,163/7,DC,Axar Patel,"(17.5/20 ov, T:164) 169/4",DC,DC won by 6 wickets (with 13 balls remaining),KL Rahul,https://documents.iplt20.com/ipl/RCB/Logos/Logooutline/RCBoutline.png,https://documents.iplt20.com/ipl/DC/Logos/LogoOutline/DCoutline.png,Royal Challengers Bengaluru,Delhi Capitals,https://documents.iplt20.com/ipl/IPLHeadshot2025/597.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/110.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/19.png
T205359,"Apr 9, 2025",GT Vs RR,"23rd Match (N), Ahmedabad, April 09, 2025,Indian Premier League","Rajasthan Royals, elected to field first",GT,Shubman Gill,217/6,RR,Sanju Samson,"(19.2/20 ov, T:218) 159",GT,GT won by 58 runs,Sai Sudharsan,https://documents.iplt20.com/ipl/GT/Logos/Logooutline/GToutline.png,https://documents.iplt20.com/ipl/RR/Logos/Logooutline/RRoutline.png,Gujarat Titans,Rajasthan Royals,https://documents.iplt20.com/ipl/IPLHeadshot2025/62.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/190.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/976.png
T206346,"Apr 8, 2025",PBKS Vs CSK,"22nd Match (N), New Chandigarh, April 08, 2025,Indian Premier League","Punjab Kings, elected to bat first",PBKS,Shreyas Iyer,219/6,CSK,Ruturaj Gaikwad,"(20 ov, T:220) 201/5",PBKS,PBKS won by 18 runs,Priyansh Arya,https://documents.iplt20.com/ipl/PBKS/Logos/Logooutline/PBKSoutline.png,https://documents.iplt20.com/ipl/CSK/logos/Logooutline/CSKoutline.png,Punjab Kings,Chennai Super Kings,https://documents.iplt20.com/ipl/IPLHeadshot2025/12.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/102.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/3571.png
